Compound,Date,Negative,Neutral,Positive,Tweet Count,Tweet text,User
0.0,Fri Apr 06 23:26:22 +0000 2018,0.0,1.0,0.0,64,RT @APTA_Transit: https://t.co/zxMKT7Ulqs,@APTA_Transit
0.219,Fri Apr 06 21:45:10 +0000 2018,0.0,0.911,0.089,65,"@APTA_Transit I’m all for public #MassTransit, but I really (really) want to see the math on the savings, because I… https://t.co/d63NQndL94",@APTA_Transit
0.71,Fri Apr 06 21:28:47 +0000 2018,0.0,0.731,0.269,66,"@APTA_Transit Replacing the $1&amp;$2 dollar bills with dollar coins can help save us billion of dollars
#DollarCoinNow @DollarCoinNow",@APTA_Transit
0.0,Fri Apr 06 21:27:54 +0000 2018,0.0,1.0,0.0,67,RT @APTA_Transit: https://t.co/zxMKT7Ulqs,@APTA_Transit
0.459,Thu Apr 05 21:53:49 +0000 2018,0.0,0.885,0.115,68,RT @APTA_Transit: We applaud Congress for standing up for public transit &amp; increasing investment in its 2018 budget.  Keep it up for 2019 a…,@APTA_Transit
0.459,Thu Apr 05 20:47:24 +0000 2018,0.0,0.885,0.115,69,RT @APTA_Transit: We applaud Congress for standing up for public transit &amp; increasing investment in its 2018 budget.  Keep it up for 2019 a…,@APTA_Transit
0.459,Thu Apr 05 20:44:18 +0000 2018,0.0,0.885,0.115,70,RT @APTA_Transit: We applaud Congress for standing up for public transit &amp; increasing investment in its 2018 budget.  Keep it up for 2019 a…,@APTA_Transit
0.459,Thu Apr 05 19:49:27 +0000 2018,0.0,0.885,0.115,71,RT @APTA_Transit: We applaud Congress for standing up for public transit &amp; increasing investment in its 2018 budget.  Keep it up for 2019 a…,@APTA_Transit
0.459,Thu Apr 05 19:11:35 +0000 2018,0.0,0.885,0.115,72,RT @APTA_Transit: We applaud Congress for standing up for public transit &amp; increasing investment in its 2018 budget.  Keep it up for 2019 a…,@APTA_Transit
0.459,Thu Apr 05 19:04:23 +0000 2018,0.0,0.885,0.115,73,RT @APTA_Transit: We applaud Congress for standing up for public transit &amp; increasing investment in its 2018 budget.  Keep it up for 2019 a…,@APTA_Transit
0.459,Thu Apr 05 19:00:50 +0000 2018,0.0,0.885,0.115,74,RT @APTA_Transit: We applaud Congress for standing up for public transit &amp; increasing investment in its 2018 budget.  Keep it up for 2019 a…,@APTA_Transit
0.42,Thu Apr 05 15:58:12 +0000 2018,0.0,0.843,0.157,75,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
0.7,Wed Apr 04 21:18:57 +0000 2018,0.0,0.756,0.244,76,RT @APTA_Transit: #Publictransportation has long operated in communities large and small. It helps younger people save money and allows sen…,@APTA_Transit
0.42,Wed Apr 04 20:41:00 +0000 2018,0.0,0.843,0.157,77,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
0.42,Wed Apr 04 17:54:55 +0000 2018,0.0,0.843,0.157,78,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
0.42,Wed Apr 04 16:31:58 +0000 2018,0.0,0.843,0.157,79,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
0.42,Wed Apr 04 15:49:56 +0000 2018,0.0,0.843,0.157,80,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
0.42,Wed Apr 04 15:39:57 +0000 2018,0.0,0.843,0.157,81,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
0.42,Wed Apr 04 14:07:31 +0000 2018,0.0,0.843,0.157,82,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
0.42,Wed Apr 04 02:46:04 +0000 2018,0.0,0.843,0.157,83,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
0.42,Wed Apr 04 02:44:50 +0000 2018,0.0,0.843,0.157,84,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
0.42,Wed Apr 04 02:41:01 +0000 2018,0.0,0.843,0.157,85,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
0.42,Wed Apr 04 02:07:38 +0000 2018,0.0,0.843,0.157,86,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
0.42,Tue Apr 03 23:21:17 +0000 2018,0.0,0.843,0.157,87,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
0.42,Tue Apr 03 21:22:07 +0000 2018,0.0,0.843,0.157,88,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
