,User,Date,Tweet text,Compound,Positive,Neutral,Negative,Tweet Count
43,@APTA_Transit,Thu Apr 12 14:54:38 +0000 2018,It’s great to be a part of the inclusive UTC #transportation #research conversation at #NationalMobilitySummit in D… https://t.co/I5PzONjhZC,0.625,0.204,0.796,0.0,43
44,@APTA_Transit,Thu Apr 12 14:48:27 +0000 2018,¡movimet | movilidad metropolitana está disponible! https://t.co/RFMHyfIsDR Gracias a @gobmx @APTA_Transit… https://t.co/0AZkcCPhI7,0.0,0.0,1.0,0.0,44
45,@APTA_Transit,Thu Apr 12 14:25:24 +0000 2018,@BrentToderian @TransLink @grescoe @FreeRangeKids @5kids1condo @theoverheadwire @MassTransitmag @APTA_Transit We wa… https://t.co/LJrLOxWf95,0.0,0.0,1.0,0.0,45
46,@APTA_Transit,Thu Apr 12 14:05:20 +0000 2018,"Did you know? Households in transit-oriented neighborhoods spend, on average, 15% of their income on transportation… https://t.co/gf8Ll3dYx1",0.0,0.0,1.0,0.0,46
47,@APTA_Transit,Thu Apr 12 13:05:17 +0000 2018,RT @APTA_Transit: Congratulations to @RideKCTransit on their newly awarded grant for Bus Rapid Transit! https://t.co/BVuWJFGAMv,0.855,0.439,0.561,0.0,47
48,@APTA_Transit,Thu Apr 12 11:15:16 +0000 2018,These public transportation of bus is so disgusting people are being harassed by man. Especially teen girls are bei… https://t.co/2Wcrvvein5,-0.834,0.0,0.696,0.304,48
49,@APTA_Transit,Thu Apr 12 08:52:05 +0000 2018,@BrentToderian @TransLink @grescoe @FreeRangeKids @5kids1condo @theoverheadwire @MassTransitmag @APTA_Transit Congr… https://t.co/PindzRLO94,0.0,0.0,1.0,0.0,49
50,@APTA_Transit,Thu Apr 12 05:07:14 +0000 2018,RT @APTA_Transit: Congratulations to @RideKCTransit on their newly awarded grant for Bus Rapid Transit! https://t.co/BVuWJFGAMv,0.855,0.439,0.561,0.0,50
51,@APTA_Transit,Thu Apr 12 02:50:35 +0000 2018,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,0.772,0.312,0.688,0.0,51
52,@APTA_Transit,Wed Apr 11 23:40:30 +0000 2018,@BrentToderian @TransLink @grescoe @FreeRangeKids @5kids1condo @theoverheadwire @MassTransitmag @APTA_Transit We br… https://t.co/CHm0cwsPGy,0.0,0.0,1.0,0.0,52
53,@APTA_Transit,Wed Apr 11 21:48:32 +0000 2018,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,0.772,0.312,0.688,0.0,53
54,@APTA_Transit,Wed Apr 11 21:26:56 +0000 2018,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,0.772,0.312,0.688,0.0,54
55,@APTA_Transit,Wed Apr 11 21:26:32 +0000 2018,RT @APTA_Transit: Congratulations to @RideKCTransit on their newly awarded grant for Bus Rapid Transit! https://t.co/BVuWJFGAMv,0.855,0.439,0.561,0.0,55
56,@APTA_Transit,Wed Apr 11 20:26:51 +0000 2018,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,0.772,0.312,0.688,0.0,56
57,@APTA_Transit,Wed Apr 11 20:17:27 +0000 2018,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,0.772,0.312,0.688,0.0,57
58,@APTA_Transit,Wed Apr 11 20:11:49 +0000 2018,@BrentToderian @TransLink @grescoe @FreeRangeKids @5kids1condo @theoverheadwire @MassTransitmag @APTA_Transit You c… https://t.co/uJM86r5zHQ,0.0,0.0,1.0,0.0,58
59,@APTA_Transit,Wed Apr 11 19:37:18 +0000 2018,@BrentToderian @TransLink @grescoe @FreeRangeKids @5kids1condo @theoverheadwire @MassTransitmag @APTA_Transit Congr… https://t.co/vDd3Yp5vE1,0.0,0.0,1.0,0.0,59
60,@APTA_Transit,Wed Apr 11 16:16:10 +0000 2018,@BrentToderian @TransLink @grescoe @FreeRangeKids @5kids1condo @theoverheadwire @MassTransitmag @APTA_Transit Live… https://t.co/FpWYE9kHqt,0.0,0.0,1.0,0.0,60
61,@APTA_Transit,Wed Apr 11 15:14:28 +0000 2018,"@BrentToderian @TransLink @grescoe @FreeRangeKids @5kids1condo @theoverheadwire @MassTransitmag @APTA_Transit Mazeltov, Brent!!!",0.0,0.0,1.0,0.0,61
62,@APTA_Transit,Wed Apr 11 14:37:05 +0000 2018,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,0.772,0.312,0.688,0.0,62
63,@APTA_Transit,Wed Apr 11 13:57:07 +0000 2018,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,0.772,0.312,0.688,0.0,63
64,@APTA_Transit,Wed Apr 11 13:01:43 +0000 2018,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,0.772,0.312,0.688,0.0,64
65,@APTA_Transit,Wed Apr 11 11:52:06 +0000 2018,@TTChelps @canuck_issues @APTA_Transit @JohnTory @TorontoComms @TorontoStar @CTVToronto @torontolife Too late. I'm… https://t.co/63oKE1JDOI,0.0,0.0,1.0,0.0,65
66,@APTA_Transit,Wed Apr 11 11:49:59 +0000 2018,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,0.772,0.312,0.688,0.0,66
67,@APTA_Transit,Wed Apr 11 11:47:17 +0000 2018,@canuck_issues @APTA_Transit @JohnTory @TorontoComms @TorontoStar @CTVToronto @torontolife It's cleared. ^KM,0.103,0.135,0.865,0.0,67
68,@APTA_Transit,Wed Apr 11 11:26:45 +0000 2018,"RT @TheRapid: Transit-oriented development strengthens communities: https://t.co/0haDJnxXsR #Voices4Transit
@APTA_Transit https://t.co/pFzL…",0.459,0.25,0.75,0.0,68
69,@APTA_Transit,Wed Apr 11 11:26:23 +0000 2018,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,0.772,0.312,0.688,0.0,69
70,@APTA_Transit,Tue Apr 10 20:11:01 +0000 2018,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,0.772,0.312,0.688,0.0,70
71,@APTA_Transit,Tue Apr 10 17:49:31 +0000 2018,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,0.772,0.312,0.688,0.0,71
